도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
창3동 공립 작은도서관,서울특별시,서울특별시 도봉구,작은도서관,"매주토, 일요일",14:00,17:00,00:00,00:00,00:00,00:00,16,10908,0,0,5,14,서울특별시 도봉구 도봉구 덕릉로62길 89,,02-2091-5909,2390,50,,37.638110,127.042870,2018-05-01,3090000,서울특별시 도봉구
창4동 공립 작은도서관,서울특별시,서울특별시 도봉구,작은도서관,"매주토, 일요일",14:00,17:00,00:00,00:00,00:00,00:00,0,14498,0,0,5,14,서울특별시 도봉구 도봉구 노해로 390,,02-2091-5910,330,26,,37.652200,127.051540,2018-05-01,3090000,서울특별시 도봉구
창5동 공립 작은도서관,서울특별시,서울특별시 도봉구,작은도서관,"매주토, 일요일",10:00,17:00,00:00,00:00,00:00,00:00,42,20054,0,2,5,14,서울특별시 도봉구 도봉구 도봉로 136 나길 20,,02-2091-5911,1424,318,,37.6562098,127.0434809,2018-05-01,3090000,서울특별시 도봉구
북서울중학교 도서관,서울특별시,서울특별시 도봉구,학교도서관,"매주토,일요일",09:00,17:00,00:00,00:00,00:00,00:00,0,28525,0,1359,5,14,서울특별시 도봉구 도봉구 도봉로169가길 33,,02-956-1108,554,392,,37.6813005,127.0430239,2018-05-01,3090000,서울특별시 도봉구
창북중학교 도서관,서울특별시,서울특별시 도봉구,학교도서관,매주월요일,13:00,19:00,00:00,00:00,00:00,00:00,0,26177,0,311,5,14,서울특별시 도봉구 도봉구 노해로 62길 33,,070-8230-5263,317,206,,37.6494708,127.0385766,2018-05-01,3090000,서울특별시 도봉구
도봉구청사 행복작은도서관,서울특별시,서울특별시 도봉구,작은도서관,"매주토, 일요일",09:00,18:00,00:00,00:00,00:00,00:00,21,30132,1,2,3,7,서울특별시 도봉구 도봉구 마들로 656,,02-2091-2278,14119,218,,37.6686287,127.0470496,2018-05-01,3090000,서울특별시 도봉구
서울특별시교육청도봉도서관(종합자료실),서울특별시,서울특별시 도봉구,공공도서관,"매월둘째, 넷째 수요일",09:00,18:00,09:00,17:00,09:00,17:00,78,161247,119,0,11,14,서울특별시 도봉구 도봉구 삼양로 556(쌍문동),,02-6714-7400,2204,2743,http://dblib.sen.go.kr/,37.6525847,127.0129824,2018-05-01,3090000,서울특별시 도봉구
서울특별시교육청도봉도서관(어린이자료실),서울특별시,서울특별시 도봉구,공공도서관,"매월둘째, 넷째 수요일",09:00,18:00,09:00,17:00,09:00,17:00,61,56836,14,0,11,14,서울특별시 도봉구 도봉구 삼양로 556(쌍문동),,02-6714-7400,2204,2743,http://dblib.sen.go.kr/,37.652570,127.012900,2018-05-01,3090000,서울특별시 도봉구
서울특별시교육청도봉도서관(디지털자료실),서울특별시,서울특별시 도봉구,공공도서관,"매월둘째, 넷째 수요일",09:00,22:00,09:00,18:00,09:00,18:00,56,0,0,11580,2,14,서울특별시 도봉구 도봉구 삼양로 556(쌍문동),,02-6714-7400,2204,2743,http://dblib.sen.go.kr/,37.6527461,127.0129663,2018-05-01,3090000,서울특별시 도봉구
도봉문화정보도서관(종합자료실),서울특별시,서울특별시 도봉구,공공도서관,매주화요일,09:00,22:00,09:00,18:00,09:00,18:00,80,45000,83,0,3,14,서울특별시 도봉구 도봉구 덕릉로 315 (창동),,02-900-1835,4351,3216,http://www.unilib.dobong.kr/,37.6445808,127.0438827,2018-05-01,3090000,서울특별시 도봉구
도봉문화정보도서관(어린이열람실),서울특별시,서울특별시 도봉구,공공도서관,매주화요일,09:00,18:00,09:00,17:00,09:00,17:00,48,26000,12,0,3,14,서울특별시 도봉구 도봉구 덕릉로 315 (창동),,02-900-1835,4351,3216,http://www.unilib.dobong.kr/,37.6445808,127.0438827,2018-05-01,3090000,서울특별시 도봉구
도봉어린이문화정보도서관(영 유아),서울특별시,서울특별시 도봉구,공공도서관,매주화요일,09:00,18:00,09:00,17:00,09:00,17:00,50,20095,0,0,5,14,서울특별시 도봉구 도봉구 노해로69길 151,,02-995-4171,869,1498,http://www.unilib.dobong.kr/,37.6590072,127.0494699,2018-05-01,3090000,서울특별시 도봉구
도봉 기적의 도서관,서울특별시,서울특별시 도봉구,공공도서관,국가지정공휴일,09:00,18:00,09:00,17:00,09:00,17:00,0,20676,1,55,0,0,서울특별시 도봉구 도봉구 마들로 797,,,1500,4489,,37.6807721,127.0502436,2018-05-01,3090000,서울특별시 도봉구
쌍용하늘 작은도서관,경상남도,양산시,작은도서관,"토요일, 법정공휴일",14:00,18:00,00:00,00:00,00:00,00:00,30,10803,0,0,5,14,"경상남도 양산시 양주로 97, 양산신도시 쌍용아파트관리동2층(숲속어린이집2층)",,055-910-3034,40,40,http://lib.yangsan.go.kr,35.333763,129.030205,2020-10-22,5380000,경상남도 양산시
경남아너스빌작은도서관,경상남도,양산시,작은도서관,"토요일, 법정공휴일",13:30,18:00,00:00,00:00,00:00,00:00,48,10255,0,0,5,14,"경상남도 양산시 양주로 16, 상록경남아너스빌 선큰광장 3 지하층",,070-8167-7990,134,134,http://lib.yangsan.go.kr,35.330390,129.024133,2020-10-22,5380000,경상남도 양산시
신기주공작은도서관,경상남도,양산시,작은도서관,"토요일, 법정공휴일",14:00,18:00,00:00,00:00,00:00,00:00,47,12770,0,0,3,7,"경상남도 양산시 신기서길 23, 신기주공아파트 관리사무소 3층",,055-389-0068,60,60,http://lib.yangsan.go.kr,35.354426,129.0391995791,2020-10-22,5380000,경상남도 양산시
꿈터 작은도서관,경상남도,양산시,작은도서관,법정공휴일,14:00,18:00,11:00,14:00,00:00,00:00,48,7576,0,0,3,8,"경상남도 양산시 북정서길 16, 네오파트 주민공동시설 2층",,055-363-3865,76,76,http://lib.yangsan.go.kr,35.359411,129.043335,2020-10-22,5380000,경상남도 양산시
우방아이유쉘작은도서관,경상남도,양산시,작은도서관,법정공휴일,14:00,18:00,10:00,12:00,00:00,00:00,44,7144,0,0,5,14,"경상남도 양산시 신기강변1길 11, 우방아이유쉘아파트주민공동시설1층",,055-383-2690,72,72,http://lib.yangsan.go.kr,35.351009,129.034683,2020-10-22,5380000,경상남도 양산시
미라주글사랑작은도서관,경상남도,양산시,작은도서관,"토요일, 법정공휴일",19:00,21:00,00:00,00:00,00:00,00:00,24,5015,0,0,3,14,"경상남도 양산시 회현1길 48, 교동일동미라주 지하1층 주민공동시설내(105동 지하)",,055-365-3544,81,81,http://lib.yangsan.go.kr,35.345587,129.023339,2020-10-22,5380000,경상남도 양산시
서수작은도서관,전라북도,군산시,작은도서관,매주 일요일 및 국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,28,10031,7,0,5,14,전라북도 군산시 서수면 탑천로 596,전라북도 군산시청,063-454-5665,162,162,http://lib.gunsan.go.kr,35.98120788,126.8778423,2020-10-19,4670000,전라북도 군산시
성산작은도서관,전라북도,군산시,작은도서관,매주 일요일 및 국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,30,7801,10,0,5,14,전라북도 군산시 성산면 송호로 220,전라북도 군산시청,063-454-5666,196,196,http://lib.gunsan.go.kr,35.98941012,126.7859381,2020-10-19,4670000,전라북도 군산시
서울특별시교육청송파도서관,서울특별시,송파구,공공도서관,"매월 둘째, 넷째주 화요일",08:00,23:00,08:00,23:00,00:00,00:00,1044,223025,668,12234,5,14,서울특별시 송파구 동남로 263,서울특별시교육청,02-3434-3333,6469.68,8259.7,http://splib.sen.go.kr/,37.49993098,127.1348112,2020-06-30,7011344,서울특별시교육청 서울특별시교육청송파도서관
아산중앙도서관,충청남도,아산시,공공도서관,국가지정공휴일 및 매주월요일,09:00,22:00,09:00,22:00,00:00,00:00,348,139744,221,2226,10,14,충청남도 아산시 남부로 229,아산시,041-530-6600,7129,9037.21,http://ascl.asan.go.kr,36.7703405470,127.0056810887,2020-06-30,4520000,충청남도 아산시
송곡도서관,충청남도,아산시,공공도서관,국가지정공휴일 및 매주월요일,09:00,22:00,09:00,22:00,00:00,00:00,96,93936,0,2008,10,14,충청남도 아산시 염치읍 송곡남길 82-4,아산시,041-537-3968,1771,1880.8,http://ascl.asan.go.kr,36.8001847480,127.0143426932,2020-06-30,4520000,충청남도 아산시
배방도서관,충청남도,아산시,공공도서관,국가지정공휴일 및 매주월요일,09:00,22:00,09:00,22:00,00:00,00:00,173,110827,0,0,10,14,충청남도 아산시 배방읍 모산로 140-12,아산시,041-537-3535,1492,1490.76,http://ascl.asan.go.kr,36.7739116,127.0577941,2020-06-30,4520000,충청남도 아산시
둔포도서관,충청남도,아산시,공공도서관,국가지정공휴일 및 매주월요일,09:00,22:00,09:00,22:00,00:00,00:00,53,100975,0,0,10,14,충청남도 아산시 둔포면 둔포중앙로 161번길 27-6,아산시,041-536-8597,1157,1015.21,http://ascl.asan.go.kr,36.9264339395,127.0409035715,2020-06-30,4520000,충청남도 아산시
어린이도서관,충청남도,아산시,공공도서관,국가지정공휴일 및 매주월요일,09:00,18:00,09:00,18:00,00:00,00:00,0,92725,0,0,10,14,충청남도 아산시 시민로 500,아산시,041-536-8618,,673.78,http://ascl.asan.go.kr,36.7940399978,127.0023215380,2020-06-30,4520000,충청남도 아산시
탕정온샘도서관,충청남도,아산시,공공도서관,국가지정공휴일 및 매주월요일,09:00,22:00,09:00,22:00,00:00,00:00,0,59428,0,984,10,14,충청남도 아산시 탕정면 한내로 209,아산시,041-536-8747,,2291,http://ascl.asan.go.kr,36.7944238669,127.0548432461,2020-06-30,4520000,충청남도 아산시
경상북도교육청 영양도서관,경상북도,영양군,공공도서관,매주 월요일,09:00,18:00,09:00,17:00,09:00,17:00,113,92513,372,5247,92513,14,경상북도 영양군 영양읍 팔수로 538,경상북도교육청 영양도서관,054-683-2829,1800,1125,http://www.gbelib.kr/yy/,36.661461,129.1112387943,2020-07-09,8891000,경상북도교육청 경상북도영양교육지원청
진양도서관,경상남도,진주시,공공도서관,매주 월요일 및 국가지정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,262,99440,27,10815,20,14,경상남도 진주시 문산읍 동부로588번길 24,경상남도교육청,055-761-2481,1000,1232,http://jinlib.gne.go.kr,35.1670754159,128.1660122347,2020-07-03,9010000,경상남도교육청
진영도서관,경상남도,김해시,공공도서관,매주 월요일 및 국가지정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,249,95952,36,8450,20,14,경상남도 김해시 진영읍 진영로265번길 9-61,경상남도교육청,055-345-1995,6762,1324,http://jylib.gne.go.kr,35.3047813,128.7414788,2020-07-03,9010000,경상남도교육청
창녕도서관,경상남도,창녕군,공공도서관,매주 월요일 및 국가지정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,382,107234,32,10427,20,14,경상남도 창녕군 창녕읍 남창녕로 52,경상남도교육청,055-532-9505,5803,2572,http://cnlib.gne.go.kr,35.5359449057,128.5035577390,2020-07-03,9010000,경상남도교육청
창원도서관,경상남도,창원시 성산구,공공도서관,매주 월요일 및 국가지정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,1215,352236,210,30216,20,14,경상남도 창원시 성산구 두대로 203,경상남도교육청,055-278-2801,12199,7271,http://cwlib.gne.go.kr,35.2243098,128.6642487210,2020-07-03,9010000,경상남도교육청
통영도서관,경상남도,통영시,공공도서관,매주 월요일 및 국가지정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,303,102437,301,6039,20,14,경상남도 통영시 봉수로 37,경상남도교육청,055-641-9059,1650,1413,http://tylib.gne.go.kr,34.8281397,128.4157844,2020-07-03,9010000,경상남도교육청
하남도서관,경상남도,밀양시,공공도서관,매주 월요일 및 국가지정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,221,67331,30,7824,20,14,경상남도 밀양시 하남읍 수산중앙로 63,경상남도교육청,055-391-1826,1382,1019,http://hnlib.gne.go.kr,35.3752731,128.7124203906,2020-07-03,9010000,경상남도교육청
하동도서관,경상남도,하동군,공공도서관,매주 월요일 및 국가지정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,280,86410,65,1989,20,14,경상남도 하동군 하동읍 경서대로 80,경상남도교육청,055-884-7986,4844,1753,http://hdlib.gne.go.kr,35.0638799,127.7449309022,2020-07-03,9010000,경상남도교육청
한내행복발전소,서울특별시,노원구　,작은도서관,"법정공휴일, 일요일",09:00,18:00,10:00,17:00,00:00,00:00,20,11949,0,0,5,14,서울특별시 노원구 마들로3길 15(월계이마트 부지),노원구구립도서관,070-4206-0061,176,,www.nowonlib.kr,37.62650774,127.0619783,2020-07-14,3100000,서울특별시 노원구
남양도서관,경기도,화성시,공공도서관,"2,4번째 월요일 및 법정공휴일",09:00,22:00,09:00,17:00,09:00,17:00,756,148449,65,4675,7,14,경기도 화성시 역골중앙로143,화성시문화재단,031-356-5241,4556,4500,www.hscitylib.or.kr,37.21051615,126.8251357,2020-09-10,5530000,경기도 화성시
태안도서관,경기도,화성시,공공도서관,"2,4번째 월요일 및 법정공휴일",09:00,22:00,09:00,17:00,09:00,17:00,176,110814,71,4554,7,14,"경기도 화성시 용주로22, 지하1층",화성시문화재단,031-223-4764,902,902,www.hscitylib.or.kr,37.2054580764,127.0142823827,2020-09-10,5530000,경기도 화성시
삼괴도서관,경기도,화성시,공공도서관,"2,4번째 월요일 및 법정공휴일",09:00,22:00,09:00,17:00,09:00,17:00,144,103587,36,3598,7,14,경기도 화성시 우정읍 쌍봉로109-26,화성시문화재단,031-358-2101,6612,1965,www.hscitylib.or.kr,37.08930917,126.8143188119,2020-09-10,5530000,경기도 화성시
병점도서관,경기도,화성시,공공도서관,"1,3번째 월요일 및 법정공휴일",09:00,22:00,09:00,17:00,09:00,17:00,463,145279,62,4130,7,14,경기도 화성시 병점3로 132-6,화성시문화재단,031-226-1822,49171,2620,www.hscitylib.or.kr,37.2123443520,127.0461084594,2020-09-10,5530000,경기도 화성시
봉담도서관,경기도,화성시,공공도서관,"1,3번째 월요일 및 법정공휴일",09:00,22:00,09:00,17:00,09:00,17:00,737,105603,109,3019,7,14,경기도 화성시 봉담읍 샘마을1길 8-4,화성시문화재단,031-227-7281,2394,4574,www.hscitylib.or.kr,37.21941336,126.9490155,2020-09-10,5530000,경기도 화성시
동탄복합문화센터 도서관,경기도,화성시,공공도서관,"2,4번째 월요일 및 법정공휴일",09:00,22:00,09:00,17:00,09:00,17:00,1066,173009,133,3481,7,14,경기도 화성시 노작로134,화성시문화재단,031-8015-8200,40397,6464,www.hscitylib.or.kr,37.2006875692,127.0751221069,2020-09-10,5530000,경기도 화성시
익산시립영등도서관,전라북도,익산시,공공도서관,"월요일, 공휴일",09:00,22:00,09:00,17:00,00:00,00:00,838,160038,322,5958,5,14,전라북도 익산시 궁동로 57,익산시,063-859-4661,2910,3575,http://lib.iksan.go.kr,35.9629159153,126.977736,2020-10-27,6450000,전라북도
익산시립모현도서관,전라북도,익산시,공공도서관,"월요일, 공휴일",09:00,22:00,09:00,17:00,00:00,00:00,1087,159402,172,23466,5,14,전라북도 익산시 선화로6길 7,익산시,063-859-3731,9963,7492,http://lib.iksan.go.kr,35.9498340760,126.9364586398,2020-10-27,6450000,전라북도
군산시립도서관,전라북도,군산시,공공도서관,"명절, 선거일, 공휴일, 매주월요일",09:00,22:00,09:00,17:00,00:00,00:00,276,153304,67,17936,3,14,전라북도 군산시 축동로 72,군산시,063-454-5640,2450,5736,http://lib.gunsan.go.kr,35.9660890338,126.7113650835,2020-10-27,6450000,전라북도
미룡작은도서관,전라북도,군산시,작은도서관,매주 일요일 및 국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,57,23874,11,0,5,14,전라북도 군산시 미룡로 42,전라북도 군산시청,063-454-5661,210,210,http://lib.gunsan.go.kr,35.94144136,126.6896169,2020-10-19,4670000,전라북도 군산시
흥남작은도서관,전라북도,군산시,작은도서관,매주 일요일 및 국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,48,21158,12,0,5,14,전라북도 군산시 풍문2길 35,전라북도 군산시청,063-454-5660,200,200,http://lib.gunsan.go.kr,35.9787387,126.7191245,2020-10-19,4670000,전라북도 군산시
나포작은도서관,전라북도,군산시,작은도서관,매주 일요일 및 국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,58,16679,11,0,5,14,전라북도 군산시 나포면 교동2길 5,전라북도 군산시청,063-454-5662,238,238,http://lib.gunsan.go.kr,36.03097604,126.8319975,2020-10-19,4670000,전라북도 군산시
조촌작은도서관,전라북도,군산시,작은도서관,매주 월요일 및 국가지정 공휴일(일요일 운영시간 토요일과 동일),09:00,18:00,10:00,19:00,00:00,00:00,25,13169,9,0,5,14,전라북도 군산시 양안로 133,전라북도 군산시청,063-452-0401,192,192,http://lib.gunsan.go.kr,35.9742595,126.7435428,2020-10-19,4670000,전라북도 군산시
나운작은도서관,전라북도,군산시,작은도서관,매주 일요일 및 국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,50,17648,9,0,5,14,전라북도 군산시 대학로 330,전라북도 군산시청,063-454-5663,184,184,http://lib.gunsan.go.kr,35.9641746,126.6925921,2020-10-19,4670000,전라북도 군산시
산단작은도서관,전라북도,군산시,작은도서관,매주 일요일 및 국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,46,11985,7,0,5,14,전라북도 군산시 산단남북로 169,전라북도 군산시청,063-461-5130,201.6,201.6,http://lib.gunsan.go.kr,35.96114632,126.5604877,2020-10-19,4670000,전라북도 군산시
곡성교육문화회관,전라남도,곡성군,공공도서관,매주 월요일/국경일/ 법정공휴일/ 대체공휴일/ 특별한사유로 관장이 지정한 날(임시휴관일),09:00,18:00,09:00,18:00,09:00,18:00,318,76562,35,15666,5,22,곡성군 곡성읍 읍내7길29,전라남도교육청,061-362-0671,4482,3789,http://gslib.jne.go.kr,35.282000,127.290000,2020-07-01,8490000,전라남도교육청
구례공공도서관,전라남도,구례군,공공도서관,매주 월요일/국경일/ 법정공휴일/ 대체공휴일/ 특별한사유로 관장이 지정한 날(임시휴관일),08:00,22:00,08:00,22:00,00:00,00:00,200,69128,35,6891,5,14,구례군 구례읍 학교길 119-6,구례공공도서관,061-782-2366,1147,913,http://grlib.jne.go.kr/,35.210074,127.461386,2020-07-01,8490000,전라남도교육청
보성공공도서관,전라남도,보성군,공공도서관,매주 월요일/국경일/ 법정공휴일/ 대체공휴일/ 특별한사유로 관장이 지정한 날(임시휴관일),08:00,22:00,08:00,22:00,00:00,00:00,560,75191,30,5480,20,15,보성군 보성읍 현충로 140,전라남도교육청,061-852-3893,4876,2625,//bslib.jne.go.kr,35.304787,126.784719,2020-07-01,8490000,전라남도교육청
벌교공공도서관,전라남도,보성군,공공도서관,매주 월요일/국경일/ 법정공휴일/ 대체공휴일/ 특별한사유로 관장이 지정한 날(임시휴관일),09:00,18:00,09:00,18:00,09:00,18:00,303,72497,42,3630,10,14,보성군 벌교읍 월곡길 13,전라남도교육청,061-858-0501,1029,1047,http:www.bglib.go.kr,34.844000,127.343000,2020-07-01,8490000,전라남도교육청
화순공공도서관,전라남도,화순군,공공도서관,매주 월요일/국경일/ 법정공휴일/ 대체공휴일/ 특별한사유로 관장이 지정한 날(임시휴관일),09:00,18:00,09:00,18:00,09:00,18:00,600,105771,27,9527,20,15,화순군 화순읍도서관길15,전라남도교육청,061-372-0530,4152,1755,http:www.hslib.jne.go.kr,35.062000,126.982000,2020-07-01,8490000,전라남도교육청
장흥공공도서관,전라남도,장흥군,공공도서관,매주 월요일/국경일/ 법정공휴일/ 대체공휴일/ 특별한사유로 관장이 지정한 날(임시휴관일),07:30,22:00,07:30,22:00,07:30,22:00,275,67125,35,7961,10,14,장흥군 장흥읍중앙로2길33,전라남도교육청,061-862-3555,1730,1055,http://jhlib.go.kr,34.682000,126.910000,2020-07-01,8490000,전라남도교육청
해남공공도서관,전라남도,해남군,공공도서관,매주 월요일/국경일/ 법정공휴일/ 대체공휴일/ 특별한사유로 관장이 지정한 날(임시휴관일),07:00,22:00,07:00,22:00,07:00,22:00,500,88691,40,6418,5,15,해남군 해남읍 서성1길 33,전라남도교육청,061-536-2483,,,,,,2020-07-01,8490000,전라남도교육청
중앙동 새싹작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,00:00,00:00,00:00,00:00,40,6104,4,115,8,14,서울특별시 관악구 양녕로6다길 7,서울특별시 관악구청,02-875-9513,,704,http://lib.gwanak.go.kr/,37.484166,126.949749,2020-11-30,3200000,서울특별시 관악구
청림동 푸른숲작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,00:00,00:00,00:00,00:00,20,8072,3,2,8,14,서울특별시 관악구 관악로40길 39,서울특별시 관악구청,02-876-4090,,786,http://lib.gwanak.go.kr/,37.49184717,126.9586277,2020-11-30,3200000,서울특별시 관악구
행운동 마루작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,00:00,00:00,00:00,00:00,20,6813,0,11,8,14,서울특별시 관악구 행운1길 43,서울특별시 관악구청,02-876-3434,626,1447,http://lib.gwanak.go.kr/,37.48064257,126.957059,2020-11-30,3200000,서울특별시 관악구
청룡동 숯고을작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,00:00,00:00,00:00,00:00,20,10574,2,43,8,14,서울특별시 관악구 쑥고개로 44,서울특별시 관악구청,02-876-4083,779,1441,http://lib.gwanak.go.kr/,37.479107,126.941694,2020-11-30,3200000,서울특별시 관악구
낙성동 우듬지작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,00:00,00:00,00:00,00:00,20,9581,0,15,8,14,서울특별시 관악구 낙성대로4가길 5,서울특별시 관악구청,02-876-4072,924,2004,http://lib.gwanak.go.kr/,37.476264,126.958365,2020-11-30,3200000,서울특별시 관악구
인헌동 보물섬 작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,00:00,00:00,00:00,00:00,24,20274,3,264,8,14,서울특별시 관악구 남부순환로246가길 20,서울특별시 관악구청,02-889-4941,590,1497,http://lib.gwanak.go.kr/,37.475044,126.9653243,2020-11-30,3200000,서울특별시 관악구
남현동 우리작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,00:00,00:00,00:00,00:00,60,17960,3,301,8,14,서울특별시 관악구 남현1가길 29,서울특별시 관악구청,02-525-1334,939,2448,http://lib.gwanak.go.kr/,37.47468786,126.9778675,2020-11-30,3200000,서울특별시 관악구
신림동 굴렁쇠작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,00:00,00:00,00:00,00:00,12,7194,0,9,8,14,서울특별시 관악구 신림동길 14,서울특별시 관악구청,02-877-2727,499,1037,http://lib.gwanak.go.kr/,37.487372,126.927118,2020-11-30,3200000,서울특별시 관악구
다독다독작은도서관,광주광역시,서구,작은도서관,국가지정공휴일,10:00,19:00,10:00,18:00,00:00,00:00,80,5800,0,0,3,14,광주광역시 서구 화정로 272번길 13,,062-369-9446,,131.15,,35.14751571,126.8870463,2020-09-25,3600000,광주광역시 서구
온가족그림책작은도서관,광주광역시,서구,작은도서관,"매주토요일, 매주일요일, 국가지정공휴일",14:00,20:00,00:00,00:00,00:00,00:00,8,6100,0,0,0,0,광주광역시 서구 상무평화로 62,온가족그림책작은도서관,062-449-0142,,54.06,,35.14779088,126.8456122,2020-09-25,3600000,광주광역시 서구
꿈꾸는터전작은도서관,광주광역시,서구,작은도서관,"매주월요일, 토요일, 국가지정공휴일",10:00,18:00,10:00,14:00,00:00,00:00,50,2500,0,0,0,0,"광주광역시 서구 치평로 80, 406호",꿈꾸는터전작은도서관,,,83.37,,35.15455734,126.8477066,2020-09-25,3600000,광주광역시 서구
마음나눔북카페작은도서관,광주광역시,서구,작은도서관,국가지정공휴일,10:00,18:00,10:00,17:00,00:00,00:00,10,1000,0,0,0,0,광주광역시 서구 풍암금당길 158,마음나눔북카페작은도서관,062-681-7001,,165,,35.12131625,126.884676,2020-09-25,3600000,광주광역시 서구
작은도서관놀이정원,광주광역시,서구,작은도서관,"매주일요일, 국가지정공휴일",10:00,15:00,10:00,15:00,00:00,00:00,8,1300,0,0,0,0,광주광역시 서구 화정로 179번길 24-18,작은도서관놀이정원,,,61.23,,35.1471671,126.8770824,2020-09-25,3600000,광주광역시 서구
신일작은도서관,광주광역시,서구,작은도서관,"매주 토요일, 일요일, 국가지정공휴일",17:00,22:00,10:00,15:00,00:00,00:00,24,1000,0,0,0,0,"광주광역시 서구 화운로 311, 1층",신일작은도서관,,,149.32,,35.16687448,126.8771405,2020-09-25,3600000,광주광역시 서구
오산시 중앙도서관,경기도,오산시,공공도서관,"신정, 설연휴, 추석연휴, 설날·추석연휴와 이어지는 토·일요일, 매월 첫째 월요일",07:00,00:00,07:00,00:00,09:00,18:00,484,261663,127,2254,5,14,경기도 오산시 운암로 85(오산동),오산시청,031-8036-6140,2970.1,6421.36,http://www.osanlibrary.go.kr/jungang/main.do,37.1538369,127.0769317,2020-05-15,4000000,경기도 오산시
오산시 꿈두레도서관,경기도,오산시,공공도서관,"신정, 설연휴, 추석연휴, 설날·추석연휴와 이어지는 토·일요일, 매월 셋째 월요일",07:00,00:00,07:00,00:00,09:00,18:00,370,141345,105,1031,5,14,경기도 오산시 세마역로 20(세교동),오산시청,031-8036-6520,8342,5277,http://www.osanlibrary.go.kr/kkumdure/main.do,37.18156961,127.0454507,2020-05-15,4000000,경기도 오산시
오산시 소리울도서관,경기도,오산시,공공도서관,"신정, 설연휴, 추석연휴, 설날·추석연휴와 이어지는 토·일요일, 매월 첫째 월요일",09:00,22:00,09:00,18:00,09:00,18:00,81,24431,38,275,5,14,경기도 오산시 경기대로 102-25(원동),오산시청,031-8036-6670,4624,2995,http://www.osanlibrary.go.kr/soriul/main.do,37.13259475,127.074916,2020-05-15,4000000,경기도 오산시
상계숲속작은도서관,서울특별시,노원구　,작은도서관,"법정공휴일, 일요일",09:00,18:00,10:00,17:00,00:00,00:00,60,12138,0,0,5,14,서울특별시 노원구 동일로 227길 97(상계동 658),노원구구립도서관,02-3391-7889,325,,www.nowonlib.kr,37.66673627,127.0515525,2020-07-14,3100000,서울특별시 노원구
초안산숲속작은도서관,서울특별시,노원구　,작은도서관,"법정공휴일, 일요일",09:00,18:00,10:00,14:00,00:00,00:00,50,11442,0,0,5,14,서울특별시 노원구 덕릉로 60길 199 (월계2동 905-12),노원구구립도서관,02-905-3900,292,,www.nowonlib.kr,37.63208014,127.0444276,2020-07-14,3100000,서울특별시 노원구
늘푸른작은도서관,광주광역시,남구,작은도서관,"공휴일, 매주 토요일",10:00,17:00,00:00,00:00,00:00,00:00,30,1528,0,0,0,0,광주광역시 남구 효우2로 90,효천LH천년나무6단지,062-655-1804,,91.64,,35.0983888554,126.8830014027,2020-08-31,3610000,광주광역시 남구
두란노작은도서관,광주광역시,남구,작은도서관,"공휴일, 매주 토요일",10:00,18:00,00:00,00:00,00:00,00:00,44,3327,0,0,3,14,광주광역시 남구 진다리로 17,서남교회,062-673-2112,,115.5,,35.1370524680,126.9036884681,2020-08-31,3610000,광주광역시 남구
로뎀작은도서관,광주광역시,남구,작은도서관,매주 월요일,09:30,17:30,10:00,13:00,10:00,13:00,12,6000,2,0,3,14,광주광역시 남구 봉선중앙로131번길 10,임마누엘교회,062-673-4003,,33,,35.1331980655,126.9093036041,2020-08-31,3610000,광주광역시 남구
